YMR056C	P04710	S000004660
YGR113W	P53267	S000003345
YJR150C	P47178	S000003911
YJR151C	P47179	S000003912
YPL170W	Q12091	S000006091
YHR028C	P18962	S000001070
YJL149W	P47005	S000003685
YDR020C	Q12084	S000002427
YML113W	P13483	S000004581
YGR092W	P22204	S000003324
YPR111W	P32328	S000006315
YDR052C	P32325	S000002459
YPL119C	P24784	S000006040
YDL031W	Q12389	S000002189
YNL112W	P24783	S000005056
YGL078C	P20447	S000003046
YOR046C	P20449	S000005572
YNR038W	P53734	S000005321
YKR024C	P36120	S000001732
YHR169W	P38719	S000001212
YLR276C	Q06218	S000004266
YKL149C	P24309	S000001632
YCL016C	P25559	S000000521
YHR144C	P06773	S000001187
YIR030C	P32460	S000001469
YOR180C	Q08558	S000005706
YLR422W	Q06409	S000004414
YLR128W	Q12395	S000004118
YOL149W	Q12517	S000005509
YNL118C	P53550	S000005062
YLR361C	Q05924	S000004353
YLR270W	Q06151	S000004260
YOR173W	Q12123	S000005699
YFR012W	P43595	S000001908
YKL046C	P36091	S000001529
YPL194W	Q08949	S000006115
YER143W	P40087	S000000945
YFL061W	P0CH63	S000001833
YNL335W	P0CH64	S000005279
YOR163W	Q99321	S000005689
YOL052C-A	P89113	S000005413
YMR173W	P18899	S000004784
YOR204W	P06634	S000005730
YHR019C	P38707	S000001061
YKL054C	P35732	S000001537
YFL001W	P31115	S000001895
YAL013W	P31385	S000000011
YBR201W	P38307	S000000405
YDR051C	Q99288	S000002458
YIL049W	P40526	S000001311
YOR030W	Q99234	S000005556
YMR238W	Q05031	S000004851
YDR411C	Q12743	S000002819
YOR236W	P07807	S000005762
YOR245C	Q08650	S000005771
YOR311C	Q12382	S000005838
YNL130C-A	Q3E808	S000028579
YKL121W	P32330	S000001604
YDL160C	P39517	S000002319
YKL078W	P36009	S000001561
YMR316W	P54005	S000004935
YOR080W	Q08496	S000005606
YDL024C	P52290	S000002182
YHR011W	P38705	S000001053
YPR082C	Q06819	S000006286
YLR348C	Q06143	S000004340
YKR035W-A	P69771	S000006435
YKL002W	P36108	S000001485
YGR227W	P50076	S000003459
YLR437C	O13577	S000004429
YPL049C	Q03063	S000005970
YDR480W	Q03373	S000002888
YPL266W	P41819	S000006187
YDR263C	Q12086	S000002671
YLR129W	Q12220	S000004119
YPL265W	P53388	S000006186
YOL021C	Q08162	S000005381
YDR403W	P21623	S000002811
YDR402C	P21595	S000002810
YIR004W	P40564	S000001443
YDL174C	P32891	S000002333
YDL178W	P46681	S000002337
YEL071W	P39976	S000000797
YJL065C	P40366	S000003601
YMR126C	Q04216	S000004733
YHR115C	P38823	S000001157
YNL116W	P53924	S000005060
YER179W	P25453	S000000981
YMR211W	Q03652	S000004824
YHR164C	P38859	S000001207
YER166W	P32660	S000000968
YDR093W	Q12675	S000002500
YMR162C	Q12674	S000004772
YOR005C	Q08387	S000005531
YLL001W	P54861	S000003924
YKL213C	P36037	S000001696
YDR069C	P32571	S000002476
YGL240W	P53068	S000003209
YHR044C	P38774	S000001086
YHR043C	P38773	S000001085
YNL001W	P33309	S000004946
YDR273W	Q05610	S000002681
YDR141C	Q03921	S000002548
YDR068W	P54858	S000002475
YDR440W	Q04089	S000002848
YIL010W	P40553	S000001272
YER088C	P40059	S000000890
YJL090C	P47027	S000003626
YPR175W	P24482	S000006379
YBR278W	P27344	S000000482
YDR121W	Q04603	S000002528
YIL103W	P40487	S000001365
YKL191W	P32461	S000001674
YLR172C	P32469	S000004162
YLR143W	Q12429	S000004133
YDR294C	Q05567	S000002702
YPR183W	P14020	S000006387
YDR284C	Q05521	S000002692
YLL018C	P04802	S000003941
YKR071C	P36152	S000001779
YGR093W	P53255	S000003325
YLL008W	P32892	S000003931
YAL026C	P39524	S000000024
YOL073C	Q08232	S000005434
YOR223W	Q12015	S000005749
YGL196W	P53095	S000003164
YER124C	P40077	S000000926
YHR143W	P38844	S000001186
YOR264W	Q08729	S000005790
YNR067C	P53753	S000005350
YEL070W	P0CX08	S000000796
YBR007C	P38213	S000000211
YMR276W	P48510	S000004889
YNL258C	P53847	S000005202
YIR010W	P40568	S000001449
YMR287C	P39112	S000004900
YPR017C	P32601	S000006221
YGL043W	P07273	S000003011
YDL219W	Q07648	S000002378
YBR180W	P38125	S000000384
YOL087C	Q99247	S000005447
YFR044C	P43616	S000001940
YBR281C	P38149	S000000485
YNL191W	P53871	S000005135
YDL101C	P39009	S000002259
YGL061C	P53168	S000003029
YBR208C	P32528	S000000412
YHL016C	P33413	S000001008
YML080W	P53759	S000004545
YLR401C	Q06053	S000004393
YLR405W	Q06063	S000004397
YBR252W	P33317	S000000456
YDR370C	Q06349	S000002778
YKR054C	P36022	S000001762
YDR424C	Q02647	S000002832
YMR299C	Q04949	S000004914
YHR068W	P38791	S000001110
YDR359C	Q06337	S000002767
YPR023C	Q12432	S000006227
YEL018W	P39995	S000000744
YJR082C	P47128	S000003842
YNL136W	P53911	S000005080
YKL204W	P36041	S000001687
YMR171C	Q03212	S000004781
YGR015C	P53208	S000003247
YKL172W	P36049	S000001655
YDR206W	Q03466	S000002614
YLR284C	Q05871	S000004274
YGR146C	P48235	S000003378
YEL030W	P39987	S000000756
YDR446W	Q04110	S000002854
YHR021W-A	O13529	S000003531
YBL043W	P38195	S000000139
YHR132C	P38836	S000001174
YBL001C	P35195	S000000097
YMR128W	Q04217	S000004735
YDR125C	Q04623	S000002532
YLR390W	Q06011	S000004382
YAL059W	P39715	S000000055
YBL101C	P38167	S000000197
YLR228C	Q05958	S000004218
YPL021W	Q02710	S000005942
YJL201W	P32525	S000003737
YJR106W	P47144	S000003867
YHL030W	P38737	S000001022
YBR065C	P38241	S000000269
YOR092W	Q99252	S000005618
YLR436C	Q06673	S000004428
YBR176W	P38122	S000000380
YER176W	P32644	S000000978
YBR078W	P38248	S000000282
YHL043W	P38728	S000001035
YLR299W	Q05902	S000004290
YKR076W	P36156	S000001784
YMR176W	Q03214	S000004788
YLR443W	Q06200	S000004435
YBR076W	P38246	S000000280
YKR004C	Q02202	S000001712
YFR027W	P43605	S000001923
YGR007W	P33412	S000003239
YGL222C	P53080	S000003190
YER035W	P40023	S000000837
YEL015W	P39998	S000000741
YBL047C	P34216	S000000143
YBR033W	P38073	S000000237
YPL095C	Q02891	S000006016
YAL003W	P32471	S000000003
YGR271C-A	Q3E705	S000007608
YHL039W	P38732	S000001031
YBR271W	P38347	S000000475
YJR129C	P47163	S000003890
YIL064W	P40516	S000001326
YGR001C	P53200	S000003233
YNL024C	P53970	S000004969
YMR212C	Q03653	S000004825
YOR133W	P32324	S000005659
YDR385W	P32324	S000002793
YPL037C	Q02642	S000005958
YHR193C	P38879	S000001236
YIR007W	P40566	S000001446
YNL327W	P42835	S000005271
YDR036C	P28817	S000002443
YBR177C	P38295	S000000381
YMR031C	Q05050	S000004633
YDR147W	Q03764	S000002554
YNL230C	P53861	S000005174
YPL046C	Q03071	S000005967
YKL160W	P36053	S000001643
YOR144C	Q12050	S000005670
YKL048C	P32801	S000001531
YJL196C	P39540	S000003732
YCR034W	P25358	S000000630
YLR372W	P40319	S000004364
YGR200C	P42935	S000003432
YPL086C	Q02908	S000006007
YPL101W	Q02884	S000006022
YMR312W	Q04868	S000004929
YCL045C	P25574	S000000550
YDR056C	Q12025	S000002463
YJR088C	P47133	S000003848
YKL207W	P36039	S000001690
YGL231C	P53073	S000003200
YIL027C	P40540	S000001289
YLL014W	Q12431	S000003937
YLR186W	Q06287	S000004176
YDR512C	Q04406	S000002920
YDR516C	Q04409	S000002924
YGL200C	P32803	S000003168
YLR080W	Q12396	S000004070
YFL048C	P43555	S000001846
YER140W	P40085	S000000942
YLR083C	P32802	S000004073
YNL313C	P42842	S000005257
YDR040C	P13587	S000002447
YDR039C	Q01896	S000002446
YDR038C	Q12691	S000002445
YOL158C	Q08299	S000005518
YNL084C	P39013	S000005028
YGR254W	P00924	S000003486
YHR174W	P00925	S000001217
YBR247C	P38333	S000000451
YGR145W	P48234	S000003377
YDL161W	Q12518	S000002320
YLR206W	Q05785	S000004196
YJR125C	P47160	S000003886
YLL038C	Q07872	S000003961
YDR153C	Q03769	S000002560
YLR065C	Q99382	S000004055
YGR071C	P53246	S000003303
YPL236C	Q12003	S000006157
YOR246C	Q08651	S000005772
YNL080C	P53938	S000005024
YFL024C	P43572	S000001870
YIL005W	P40557	S000001267
YHR123W	P22140	S000001165
YMR049C	Q04660	S000004652
YHR032W	P38767	S000001074
YDR414C	P16151	S000002822
YBL040C	P18414	S000000136
YLR246W	Q06551	S000004236
YGR175C	P32476	S000003407
YPL028W	P41338	S000005949
YHR007C	P10614	S000001049
YMR208W	P07277	S000004821
YML126C	P54839	S000004595
YMR202W	P32352	S000004815
YJL167W	P08524	S000003703
YNL280C	P32462	S000005224
YGR060W	P53045	S000003292
YGL001C	P53199	S000002969
YLR100W	Q12452	S000004090
YER044C	P40030	S000000846
YLR056W	P32353	S000004046
YGL012W	P25340	S000002980
YMR015C	P54781	S000004617
YML008C	P25087	S000004467
YHR072W	P38604	S000001114
YMR220W	P24521	S000004833
YHR190W	P29704	S000001233
YPL096C-A	P62651	S000028423
YFR041C	P43613	S000001937
YML130C	Q03103	S000004599
YAR002C-A	Q05359	S000002129
YAL007C	P39704	S000000005
YDL018C	Q12403	S000002176
YOR016C	Q12450	S000005542
YHR110W	P38819	S000001152
YGL002W	P53198	S000002970
YOR393W	P0CX10	S000005920
YPL281C	P0CX11	S000006202
YMR323W	P42222	S000004942
YCR075C	P17261	S000000671
YBR239C	P38140	S000000443
YGR029W	P27882	S000003261
YGL054C	P53173	S000003022
YBR210W	P38312	S000000414
YPR037C	Q12284	S000006241
YML012W	P54837	S000004473
YGR284C	P53337	S000003516
YML067C	Q04651	S000004532
YAL042W	P39727	S000000040
YOR244W	Q08649	S000005770
YNL125C	P53918	S000005069
YMR219W	Q03661	S000004832
YDR363W	Q06340	S000002771
YOL017W	Q08119	S000005377
YDR365C	Q06344	S000002773
YNR054C	P53743	S000005337
YIL151C	P40456	S000001413
YKR096W	P36168	S000001804
YGR098C	Q03018	S000003330
YJR017C	P22696	S000003778
YLR233C	P17214	S000004223
YLR318W	Q06163	S000004310
YIL009C-A	Q03096	S000006432
YHL010C	P38748	S000001002
YBR026C	P38071	S000000230
YOR051C	Q08421	S000005577
YMR111C	Q04461	S000004717
YDR518W	P32474	S000002926
YLR300W	P23776	S000004291
YDR261C	P52911	S000002669
YOR033C	P39875	S000005559
YBR163W	P38289	S000000367
YJL085W	P19658	S000003621
YBR102C	P38261	S000000306
YDL121C	Q07541	S000002279
YOR317W	P30624	S000005844
YER015W	P39518	S000000817
YIL009W	P39002	S000001271
YMR246W	P47912	S000004860
YFR019W	P34756	S000001915
YDL045C	P38913	S000002203
YIL019W	P40546	S000001281
YDR021W	Q12099	S000002428
YNL023C	P53971	S000004968
YDL166C	Q12055	S000002325
YJL157C	P21268	S000003693
YLR238W	Q06001	S000004228
YNL127W	P53917	S000005071
YMR052W	P46671	S000004656
YFR008W	P43592	S000001904
YMR029C	Q05040	S000004631
YKL182W	P07149	S000001665
YPL231W	P19097	S000006152
YBR041W	P38225	S000000245
YER183C	P40099	S000000985
YKL060C	P14540	S000001543
YLR377C	P09201	S000004369
YJL155C	P32604	S000003691
YDR339C	Q05498	S000002747
YLR051C	Q12035	S000004041
YMR277W	Q03254	S000004890
YPR062W	Q12178	S000006266
YER056C	P17064	S000000858
YER060W	P40039	S000000862
YER060W-A	Q12119	S000002958
YDR539W	Q03034	S000002947
YOR388C	Q08911	S000005915
YPL275W	P0CF35	S000006196
YCR028C	P25621	S000000623
YBR101C	P38260	S000000305
YMR058W	P38993	S000004662
YMR319C	P40988	S000004938
YFL041W	P43561	S000001853
YOR390W	Q08913	S000005917
YPL279C	Q08991	S000006200
YPR104C	P39521	S000006308
YGR131W	P53279	S000003363
YBR040W	P38224	S000000244
YCR089W	P25653	S000000685
YNL325C	P42837	S000005269
YDR130C	Q03898	S000002537
YJR093C	P45976	S000003853
YER032W	P40020	S000000834
YIL065C	P40515	S000001327
YDR534C	Q04433	S000002942
YOR382W	Q08906	S000005909
YOR383C	Q08907	S000005910
YIL131C	P40466	S000001393
YNL068C	P41813	S000005012
YLR342W	P38631	S000004334
YMR306W	Q04952	S000004923
YPL221W	Q08967	S000006142
YAL053W	P39719	S000000049
YGL139W	P53121	S000003107
YKR102W	P36170	S000001810
YIR019C	P08640	S000001458
YAR050W	P32768	S000000084
YHR211W	P38894	S000001254
YER109C	P40068	S000000911
YAL063C	P39712	S000000059
R0010W	P03870	S000029654
YBR008C	P38124	S000000212
YIL134W	P40464	S000001396
YIL098C	P40491	S000001360
YDR236C	Q03778	S000002644
YHR176W	P38866	S000001219
YER182W	P40098	S000000984
YDR070C	Q12497	S000002477
YBR047W	P38231	S000000251
YLR077W	Q08023	S000004067
YLR454W	Q06179	S000004446
YPL103C	Q02883	S000006024
YFL046W	P43557	S000001848
YJL161W	P46998	S000003697
YPL222W	Q08968	S000006143
YNL168C	P53889	S000005112
YMR221C	Q04991	S000004834
YDL222C	Q07651	S000002381
YKR049C	P36141	S000001757
YGR052W	P53233	S000003284
YER038W-A	A0A023PZB3	S000028746
YER004W	P40008	S000000806
YMR020W	P50264	S000004622
YBL013W	P32785	S000000109
YDR110W	O13329	S000002517
YNL256W	P53848	S000005200
YGR267C	P51601	S000003499
YMR113W	Q12676	S000004719
YKR009C	Q02207	S000001717
YNR047W	P53739	S000005330
YNL135C	P20081	S000005079
YDR519W	P32472	S000002927
YML074C	P38911	S000004539
YLR449W	Q06205	S000004441
YLL043W	P23900	S000003966
YLL029W	Q07825	S000003952
YEL047C	P32614	S000000773
YLR214W	P32791	S000004204
YKL220C	P36033	S000001703
YOR381W	Q08905	S000005908
YNR060W	P53746	S000005343
YOR384W	Q08908	S000005911
YLL051C	Q12473	S000003974
YOL152W	Q12333	S000005512
YLR047C	Q12209	S000004037
YPL141C	Q03002	S000006062
YCL026C-A	P37261	S000000589
YDR373W	Q06389	S000002781
YLR060W	P15624	S000004050
YFL022C	P15625	S000001872
YOR324C	Q99332	S000005851
YAL028W	P39734	S000000026
YOR271C	Q12029	S000005797
YHR049W	P38777	S000001091
YMR222C	Q05015	S000004835
YOR280C	Q99369	S000005806
YBR207W	P38310	S000000411
YER145C	P40088	S000000947
YCR076C	P25659	S000000672
YBL042C	P38196	S000000138
YPL262W	P08417	S000006183
YAL035W	P39730	S000000033
YAL008W	P18411	S000000006
YAL034C	P28003	S000002134
YAL022C	P31381	S000000020
YAL019W	P31380	S000000017
YHR128W	P18562	S000001170
YBR021W	P05316	S000000225
YCL027W	P11710	S000000532
YMR232W	Q05670	S000004845
YBL016W	P16892	S000000112
YDR024W	Q99341	S000002431
YIL097W	P40492	S000001359
YOR183W	Q08559	S000005709
YHR059W	P38783	S000001101
YCL058C	P25585	S000000563
YNL133C	P53913	S000005077
YLR068W	Q12247	S000004058
YGR196C	P46949	S000003428
YGL254W	P32805	S000003223
YBR179C	P38297	S000000383
YLR088W	P39012	S000004078
YLR459W	P41733	S000004451
YOR178C	P28006	S000005704
YMR250W	Q04792	S000004862
YBR020W	P04385	S000000224
YBR019C	P04397	S000000223
YOL051W	P19659	S000005411
YLR081W	P13181	S000004071
YDR009W	P13045	S000002416
YPL248C	P04386	S000006169
YBR018C	P08431	S000000222
YML051W	P04387	S000004515
YER027C	Q04739	S000000829
YKR039W	P19145	S000001747
YHR089C	P28007	S000001131
YMR307W	P22146	S000004924
YLR343W	Q06135	S000004335
YMR215W	Q03655	S000004828
YOL132W	Q08271	S000005492
YOL030W	Q08193	S000005390
YFL021W	P43574	S000001873
YMR136W	P40209	S000004744
YLR013W	Q07928	S000004003
YIR013C	P40569	S000001452
YCL011C	P25555	S000000517
YNL062C	P41814	S000005006
YER025W	P32481	S000000827
YJL125C	P46959	S000003661
YOR260W	P09032	S000005786
YGR083C	P12754	S000003315
YDR211W	P32501	S000002619
YLR291C	P32502	S000004282
YER163C	P32656	S000000965
YGL195W	P33892	S000003163
YFR009W	P43535	S000001905
YDR283C	P15442	S000002691
YKR026C	P14741	S000001734
YEL009C	P03069	S000000735
YGR252W	Q03330	S000003484
YPL075W	P07261	S000005996
YNL199C	Q01722	S000005143
YDL226C	P35197	S000002385
YDR019C	P48015	S000002426
YMR189W	P49095	S000004801
YAL044C	P39726	S000000042
YOR120W	P14065	S000005646
YEL042W	P32621	S000000768
YPR184W	Q06625	S000006388
YPL110C	Q02979	S000006031
YOR375C	P07262	S000005902
YDL215C	P33327	S000002374
YAL062W	P39708	S000000058
YER136W	P39958	S000000938
YOR355W	P41913	S000005882
YBR187W	P38301	S000000391
YJR031C	P47102	S000003792
YEL022W	P39993	S000000748
YJR040W	P37020	S000003801
YAL048C	P39722	S000000046
YOR205C	Q08622	S000005731
YHR100C	P38812	S000001142
YLR091W	Q12393	S000004081
YGL057C	P53171	S000003025
YGL020C	P53192	S000002988
YER083C	P40056	S000000885
YDL100C	Q12154	S000002258
YOR164C	Q12125	S000005690
YCL073C	P25596	S000000575
YKR106W	P36173	S000001814
YKL104C	P14742	S000001587
YMR255W	Q04839	S000004868
YCL036W	P25370	S000000541
YDR358W	Q06336	S000002766
YHR108W	P38817	S000001150
YDL198C	P38988	S000002357
YHR061C	P38785	S000001103
YDR309C	Q06648	S000002717
YCL039W	P25569	S000000544
YMR135C	P40208	S000004742
YNL153C	P53900	S000005097
YEL003W	P40005	S000000729
YML094W	Q04493	S000004559
YDR507C	Q12263	S000002915
YBR045C	P38229	S000000249
YER054C	P40036	S000000856
YPL137C	Q03016	S000006058
YAL031C	P39732	S000000029
YDR152W	Q03768	S000002559
YDR096W	Q03833	S000002503
YNL255C	P53849	S000005199
YLR094C	Q12418	S000004084
YML006C	Q04233	S000004465
YCR098C	P25346	S000000695
YEL011W	P32775	S000000737
YER133W	P32598	S000000935
YMR311C	P41818	S000004928
YPR109W	Q06104	S000006313
YDL207W	Q12315	S000002366
YER107C	P40066	S000000909
YKR058W	P36143	S000001766
YJL137C	P47011	S000003673
YCL040W	P17709	S000000545
YPR035W	P32288	S000006239
YER040W	P18494	S000000842
YOR168W	P13188	S000005694
YML004C	P50107	S000004463
YDR272W	Q05584	S000002680
YER122C	P38682	S000000924
YOR040W	Q12320	S000005566
YPL091W	P41921	S000006012
YDL171C	Q12680	S000002330
YEL046C	P37303	S000000772
YDR506C	Q04399	S000002914
YLR445W	Q06201	S000004437
YKR030W	P36125	S000001738
YFL017C	P43577	S000001877
YHR183W	P38720	S000001226
YGR256W	P53319	S000003488
YDR508C	P48813	S000002916
YOR320C	Q12096	S000005847
YJL184W	P46984	S000003720
YNL274C	P53839	S000005218
YHL031C	P38736	S000001023
YMR292W	Q03554	S000004906
YHR005C	P08539	S000001047
YER020W	P10823	S000000822
YOR371C	Q08886	S000005898
YAL056W	P39717	S000000052
YGR149W	P48236	S000003381
YDL022W	Q00055	S000002180
YOL059W	P41911	S000005420
YGL121C	P53130	S000003089
YPR160W	P06738	S000006364
YGR216C	P53306	S000003448
YGL142C	P30777	S000003110
YDR302W	Q06636	S000002710
YMR281W	P23797	S000004894
YLL031C	Q07830	S000003954
YJR013W	P47088	S000003774
YNL038W	P53961	S000004983
YHR188C	P38875	S000001231
YDR434W	Q04080	S000002842
YBR004C	P38211	S000000208
YDR437W	Q04082	S000002845
YPL076W	P46961	S000005997
YDR331W	P49018	S000002739
YKL152C	P00950	S000001635
YDL021W	Q12008	S000002179
YOL056W	Q12326	S000005417
YOR262W	Q08726	S000005788
YLR243W	Q06543	S000004233
YIL053W	P41277	S000001315
YER062C	P40106	S000000864
YDL035C	Q12361	S000002193
YKR067W	P36148	S000001775
YKL026C	P36014	S000001509
YBR244W	P38143	S000000448
YLL035W	Q07845	S000003958
YPL223C	Q08969	S000006144
YOL151W	Q12068	S000005511
YHR104W	P38715	S000001146
YDR517W	Q04410	S000002925
YJR090C	P24814	S000003850
YBR121C	P38088	S000000325
YPR081C	Q06817	S000006285
YCL035C	P25373	S000000540
YDR513W	P17695	S000002921
YDR098C	Q03835	S000002505
YER174C	P32642	S000000976
YPL059W	Q02784	S000005980
YDL010W	Q12438	S000002168
YBR014C	P38068	S000000218
YLR364W	Q05926	S000004356
YGR032W	P40989	S000003264
YML048W	Q04697	S000004511
YJL101C	P32477	S000003637
YOL049W	Q08220	S000005409
YJL103C	P42950	S000003639
YLR293C	P32835	S000004284
YOR185C	P32836	S000005711
YFR015C	P23337	S000001911
YLR258W	P27472	S000004248
YDR221W	Q04924	S000002629
YGR102C	P53260	S000003334
YGR154C	P48239	S000003386
YMR251W	Q04806	S000004863
YML121W	Q00582	S000004590
YGR163W	P53290	S000003395
YGL181W	P40956	S000003149
YIR038C	P40582	S000001477
YLL060C	Q12390	S000003983
YEL017W	P39996	S000000743
YMR217W	P38625	S000004830
YDL238C	Q07729	S000002397
YLR289W	P46943	S000004280
YDR454C	P15454	S000002862
YGL084C	P53154	S000003052
YPL189W	Q08929	S000006110
YGL245W	P46655	S000003214
YHL032C	P32190	S000001024
YIL155C	P32191	S000001417
YIL041W	P40531	S000001303
YJL091C	P47026	S000003627
YMR192W	Q04322	S000004804
YOR070C	Q08484	S000005596
YPL249C	Q12344	S000006170
YJL044C	P32806	S000003580
YDL234C	P48365	S000002393
YFL027C	P43570	S000001867
YJL110C	P42944	S000003646
YPR008W	Q12753	S000006212
YFL031W	P41546	S000001863
YPR005C	Q01766	S000006209
YJL165C	P38970	S000003701
YOL089C	Q12180	S000005449
YJR069C	P47119	S000003830
YLR256W	P0CE41	S000004246
YGL237C	P06774	S000003206
YBL021C	P13434	S000000117
YKL109W	P14064	S000001592
YOR358W	Q02516	S000005885
YMR290C	Q03532	S000004903
YPL001W	Q12341	S000005922
YEL056W	P39984	S000000782
YCL026C-B	Q96VH4	S000007548
YKR084C	P32769	S000001792
YDL223C	Q07653	S000002382
YJL033W	P20448	S000003570
YNL281W	P53834	S000005225
YCR065W	P25364	S000000661
YLR192C	Q05775	S000004182
YKL017C	P34243	S000001500
YNL021W	P53973	S000004966
YDR295C	Q06629	S000002703
YPR179C	Q06623	S000006383
YDR014W-A	Q03937	S000113613
YNL014W	P53978	S000004959
YDR458C	Q03281	S000002866
YBL032W	P38199	S000000128
YKR017C	P36113	S000001725
YDR266C	Q05580	S000002674
YDR047W	P32347	S000002454
YDR044W	P11353	S000002451
YER014W	P40012	S000000816
YOR176W	P16622	S000005702
YDR232W	P09950	S000002640
YGL040C	P05373	S000003008
YDL119C	Q07534	S000002277
YDL205C	P28789	S000002364
YOR278W	P06174	S000005804
YOR227W	Q12276	S000005753
YMR293C	Q03557	S000004907
YOR237W	P35843	S000005763
YMR207C	P32874	S000004820
YMR110C	Q04458	S000004716
YPL254W	Q12060	S000006175
YGL251C	P51979	S000003220
YGR187C	P48362	S000003419
YBR009C	P02309	S000000213
YNL030W	P02309	S000004975
YPL127C	P53551	S000006048
YBR010W	P61830	S000000214
YNL031C	P61830	S000004976
YEL059W	P39982	S000000785
YLL022C	Q12373	S000003945
YDR317W	Q06674	S000002725
YGR191W	P06775	S000003423
YBL008W	P32479	S000000104
YOR038C	P32480	S000005564
YJR140C	P47171	S000003901
YER055C	P00498	S000000857
YFR025C	P38635	S000001921
YOR202W	P06633	S000005728
YCL030C	P00815	S000000535
YIL116W	P07172	S000001378
YIL020C	P40545	S000001282
YBR248C	P33734	S000000452
YJR055W	P46973	S000003816
YDR420W	P41809	S000002828
YMR161W	P48353	S000004771
YDR528W	Q04429	S000002936
YER057C	P40037	S000000859
YML075C	P12683	S000004540
YLR450W	P12684	S000004442
YOL095C	Q12039	S000005455
YCL066W	P0CY07	S000000571
YCL067C	P0CY09	S000000572
YDR174W	Q03973	S000002581
YCR097W	P0CY11	S000000694
YCR096C	P0CY13	S000000692
YOR032C	Q12398	S000005558
YJR147W	P47175	S000003908
YBR034C	P38074	S000000238
YLR205C	P32339	S000004195
YGL077C	P19807	S000003045
YDL125C	Q04344	S000002283
YDR305C	P49775	S000002713
YOR258W	Q08702	S000005784
YDL227C	P09932	S000002386
YJR075W	P47124	S000003836
YMR032W	Q05080	S000004635
YLR113W	P32485	S000004103
YNR055C	P53389	S000005338
YDR158W	P13663	S000002565
YER052C	P10869	S000000854
YJR139C	P31116	S000003900
YIL072W	P20050	S000001334
YGL033W	P53187	S000003001
YMR251W-A	Q05827	S000004864
YPR068C	Q12214	S000006272
YGL194C	P53096	S000003162
YPL116W	Q02959	S000006037
YIL112W	P40480	S000001374
YMR172W	Q03213	S000004783
YKL084W	P36078	S000001567
YPR193C	Q06592	S000006397
YEL066W	P39979	S000000792
YBR215W	Q01448	S000000419
YOL155C	Q05164	S000005515
YIL110W	P40481	S000001372
YDR138W	P17629	S000002545
YDR399W	Q04178	S000002807
YNL004W	P38922	S000004949
YOL013C	Q08109	S000005373
YLR207W	Q05787	S000004197
YLR301W	Q05905	S000004292
YOR267C	Q08732	S000005793
YOL123W	Q99383	S000005483
YDR291W	Q05549	S000002699
YPL204W	P29295	S000006125
YOL133W	Q08273	S000005493
YLR097C	Q12347	S000004087
YMR186W	P15108	S000004798
YHL002W	P38753	S000000994
YGL073W	P10961	S000003041
YMR288W	P49955	S000004901
YOR319W	Q99181	S000005846
YKL138C-A	P69852	S000028421
YKL101W	P34244	S000001584
YBR133C	P38274	S000000337
YBR272C	P38348	S000000476
YLL026W	P31539	S000003949
YOR020C	P38910	S000005546
YFL014W	P22943	S000001880
YJL159W	P32478	S000003695
YBR072W	P15992	S000000276
YCR021C	P25619	S000000615
YDR533C	Q04432	S000002941
YPL280W	Q08992	S000006201
YOR391C	Q08914	S000005918
YDR171W	Q12329	S000002578
YLR259C	P19882	S000004249
YDR258C	P33416	S000002666
YPL240C	P02829	S000006161
YOL068C	P53685	S000005429
YPL015C	P53686	S000005936
YOR025W	P53687	S000005551
YDR191W	P53688	S000002599
YGR223C	P50079	S000003455
YDR225W	P04911	S000002633
YBL003C	P04912	S000000099
YDR224C	P02293	S000002632
YBL002W	P02294	S000000098
YHR067W	P38790	S000001109
YCR020W-B	Q9URQ5	S000006439
YPR033C	P07263	S000006237
YOL012C	Q12692	S000005372
YGR268C	P40325	S000003500
YOR284W	Q12134	S000005810
YNR032C-A	Q6Q546	S000007251
YML058W-A	Q6Q5K6	S000007472
YJR036C	P40985	S000003797
YGL141W	P53119	S000003109
YGL168W	P45820	S000003136
YPL244C	Q12520	S000006165
YER039C	P0CE11	S000000841
YFR053C	P04806	S000001949
YGL253W	P04807	S000003222
YFL011W	P43581	S000001883
YOL156W	P54862	S000005516
YIL170W	P40441	S000001432
YEL069C	P39924	S000000795
YNL318C	P42833	S000005262
YDL245C	P54854	S000002404
YJR158W	P47185	S000003919
YNR072W	P53631	S000005355
YHR094C	P32465	S000001136
YMR011W	P23585	S000004613
YDR345C	P32466	S000002753
YHR092C	P32467	S000001134
YHR096C	P38695	S000001138
YDR343C	P39003	S000002751
YDR342C	P39004	S000002750
YJL214W	P40886	S000003750
YJL219W	P40885	S000003755
YKL189W	P32464	S000001672
YEL034W	P23301	S000000760
YIR037W	P40581	S000001476
YOR126C	P41734	S000005652
YJR122W	P47158	S000003883
YNL164C	P53892	S000005108
YIL090W	P40499	S000001352
YER065C	P28240	S000000867
YPR006C	Q12031	S000006210
YER078C	P40051	S000000880
YBR157C	P38284	S000000361
YJL077C	P47034	S000003613
YLR099C	Q12385	S000004089
YMR195W	Q04329	S000004808
YNL037C	P28834	S000004982
YOR136W	P28241	S000005662
YPL117C	P15496	S000006038
YDL066W	P21954	S000002224
YLR174W	P41939	S000004164
YNL009W	P53982	S000004954
YJL146W	P46958	S000003682
YFL013C	P43579	S000001881
YNL215W	P40154	S000005159
YLR052W	Q12345	S000004042
